crop,region,rainfall_mm,avg_temp_c,N_kg_ha,P_kg_ha,K_kg_ha,soil_ph,area_acres,yield_quintal_per_acre
Wheat,Maharashtra,216.7,27.5,118.9,87.2,52.2,7.52,5.34,13.99
Wheat,Maharashtra,271.4,15.3,152.8,64.3,52.8,5.41,4.85,13.85
Maize,Uttar Pradesh,812.2,15.3,173.5,99.2,18.7,6.34,8.08,13.49
Maize,Madhya Pradesh,923.0,25.9,92.2,25.5,53.9,6.85,2.99,16.11
Rice,Maharashtra,901.5,32.4,81.2,59.4,45.7,6.19,6.42,20.94
Maize,Punjab,558.4,28.3,110.7,77.4,24.9,5.88,5.44,20.88
Wheat,Madhya Pradesh,514.6,28.3,131.7,26.0,55.3,6.94,6.71,16.88
Rice,Maharashtra,1000.7,38.2,158.2,78.3,35.2,5.47,7.61,18.33
Maize,Madhya Pradesh,1085.8,21.4,141.9,68.4,18.0,6.1,0.78,17.54
Wheat,Maharashtra,263.2,22.9,145.6,68.7,28.1,7.79,6.31,14.29
Wheat,West Bengal,331.2,23.7,131.1,46.4,28.1,7.48,0.8,19.15
Rice,Bihar,1230.6,34.9,175.7,40.3,61.2,4.74,5.77,16.36
Rice,Bihar,1884.7,41.1,179.2,82.8,16.6,6.98,4.57,11.1
Rice,Maharashtra,490.7,33.0,136.7,47.9,30.2,5.92,8.81,20.0
Rice,Maharashtra,660.9,32.8,80.5,72.5,26.2,6.34,2.92,16.49
Maize,West Bengal,655.7,18.7,121.4,53.8,31.7,4.92,1.19,17.78
Maize,Bihar,895.8,16.0,80.5,102.5,38.3,6.51,6.59,13.56
Wheat,West Bengal,344.7,29.8,129.5,22.7,17.9,7.57,5.89,14.95
Rice,West Bengal,473.4,17.6,143.6,87.4,52.6,5.84,5.12,14.9
Wheat,Uttar Pradesh,613.3,20.9,75.9,57.3,37.5,7.78,9.0,17.25
Rice,Maharashtra,433.2,21.7,43.1,87.2,65.0,6.56,1.53,13.16
Wheat,Punjab,578.5,20.7,82.5,41.6,33.8,7.51,5.03,16.8
Rice,West Bengal,1231.2,18.3,41.3,70.1,20.0,6.03,7.11,18.38
Wheat,West Bengal,869.2,12.1,150.1,25.4,31.2,7.46,7.25,12.91
Wheat,Madhya Pradesh,636.4,13.2,49.9,90.5,46.5,5.9,4.78,16.0
Rice,Maharashtra,1150.1,23.0,66.8,80.8,40.0,4.9,7.31,17.99
Rice,Bihar,1752.0,23.5,124.1,31.0,29.5,6.87,5.67,16.38
Rice,Uttar Pradesh,498.0,33.7,149.7,59.1,64.1,6.37,1.49,18.7
Maize,Uttar Pradesh,740.4,32.3,135.4,44.4,57.2,4.84,3.09,17.29
Maize,Bihar,1030.9,25.1,108.4,83.5,14.5,5.03,1.45,15.67
Rice,Maharashtra,1774.4,43.4,92.6,73.0,44.7,6.32,7.53,17.79
Wheat,Bihar,197.7,28.1,81.1,28.4,32.1,5.34,9.8,11.39
Rice,Madhya Pradesh,1692.9,36.1,64.9,45.4,38.4,5.04,3.1,15.75
Maize,Madhya Pradesh,836.7,17.3,136.7,72.4,31.0,5.31,8.91,18.79
Maize,Maharashtra,648.3,17.7,76.7,99.4,22.2,5.62,1.88,14.51
Maize,Punjab,940.9,25.9,174.9,85.6,58.7,6.33,5.41,14.02
Wheat,West Bengal,902.0,23.3,117.4,22.6,57.2,5.36,0.95,15.0
Rice,Madhya Pradesh,2008.7,40.1,80.9,57.5,39.5,7.05,4.24,15.36
Rice,Uttar Pradesh,1006.5,22.1,121.8,48.1,18.9,6.07,5.61,21.45
Rice,Uttar Pradesh,1392.9,19.4,176.1,41.7,32.3,6.22,9.48,17.45
Maize,Maharashtra,1034.2,31.8,48.3,39.2,34.2,5.71,5.49,11.78
Maize,Madhya Pradesh,661.7,15.3,80.0,76.5,20.9,6.83,6.4,15.63
Maize,Punjab,220.4,18.0,155.6,89.1,41.6,5.68,8.16,13.59
Rice,Maharashtra,1917.2,37.2,180.8,57.7,47.7,5.42,9.5,18.3
Wheat,Punjab,396.3,17.0,145.8,29.4,53.3,7.16,8.9,17.31
Wheat,Uttar Pradesh,488.7,28.2,102.9,25.9,64.6,7.76,6.77,15.55
Rice,West Bengal,1244.9,30.1,43.8,86.9,30.3,5.31,9.99,17.49
Wheat,Uttar Pradesh,819.9,15.5,62.8,63.6,59.0,5.94,6.97,14.16
Wheat,Bihar,735.7,21.5,58.4,20.8,24.8,7.38,8.37,13.8
Maize,Uttar Pradesh,1089.1,27.5,165.2,59.1,30.0,5.14,0.8,13.61
